timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1489761265083,5014,SOAP/XML-RPC Request,200,OK,PythonDirect 1-94,,true,,32,0,173,173,5014,0,0
1489761265084,5017,SOAP/XML-RPC Request,200,OK,PythonDirect 1-95,,true,,32,0,173,173,5017,0,0
1489761265090,5016,SOAP/XML-RPC Request,200,OK,PythonDirect 1-18,,true,,32,0,173,173,5016,0,0
1489761265088,5018,SOAP/XML-RPC Request,200,OK,PythonDirect 1-97,,true,,32,0,173,173,5018,0,0
1489761265086,5021,SOAP/XML-RPC Request,200,OK,PythonDirect 1-96,,true,,32,0,173,173,5020,0,0
1489761264899,5211,SOAP/XML-RPC Request,200,OK,PythonDirect 1-17,,true,,32,0,173,173,5211,0,0
1489761265090,5020,SOAP/XML-RPC Request,200,OK,PythonDirect 1-98,,true,,32,0,173,173,5020,0,0
1489761265091,5020,SOAP/XML-RPC Request,200,OK,PythonDirect 1-99,,true,,32,0,173,173,5020,0,0
1489761265093,5019,SOAP/XML-RPC Request,200,OK,PythonDirect 1-100,,true,,32,0,173,173,5019,0,0
1489761265101,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-104,,true,,32,0,173,173,5011,0,0
1489761265095,5209,SOAP/XML-RPC Request,200,OK,PythonDirect 1-101,,true,,32,0,190,190,5209,0,0
1489761265097,5208,SOAP/XML-RPC Request,200,OK,PythonDirect 1-102,,true,,32,0,190,190,5208,0,0
1489761265890,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-19,,true,,32,0,190,190,5007,0,0
1489761265893,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-22,,true,,32,0,190,190,5010,0,0
1489761265894,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-21,,true,,32,0,190,190,5010,0,0
1489761265895,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-23,,true,,32,0,190,190,5010,0,0
1489761265890,5016,SOAP/XML-RPC Request,200,OK,PythonDirect 1-20,,true,,32,0,190,190,5015,0,0
1489761265906,5004,SOAP/XML-RPC Request,200,OK,PythonDirect 1-27,,true,,32,0,190,190,5004,0,0
1489761265905,5006,SOAP/XML-RPC Request,200,OK,PythonDirect 1-25,,true,,32,0,190,190,5006,0,0
1489761265902,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-24,,true,,32,0,190,190,5007,0,0
1489761265918,5016,SOAP/XML-RPC Request,200,OK,PythonDirect 1-28,,true,,32,0,190,190,5015,0,0
1489761265919,5018,SOAP/XML-RPC Request,200,OK,PythonDirect 1-30,,true,,32,0,190,190,5018,0,0
1489761265924,5015,SOAP/XML-RPC Request,200,OK,PythonDirect 1-32,,true,,32,0,190,190,5014,0,0
1489761265915,5024,SOAP/XML-RPC Request,200,OK,PythonDirect 1-26,,true,,32,0,190,190,5024,0,0
1489761265925,5015,SOAP/XML-RPC Request,200,OK,PythonDirect 1-33,,true,,32,0,190,190,5015,0,0
1489761265922,5018,SOAP/XML-RPC Request,200,OK,PythonDirect 1-31,,true,,32,0,190,190,5018,0,0
1489761265916,5025,SOAP/XML-RPC Request,200,OK,PythonDirect 1-29,,true,,32,0,190,190,5025,0,0
1489761265099,6003,SOAP/XML-RPC Request,200,OK,PythonDirect 1-103,,true,,32,0,190,190,6003,0,0
1489761265102,6003,SOAP/XML-RPC Request,200,OK,PythonDirect 1-105,,true,,32,0,190,190,6003,0,0
1489761266116,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-106,,true,,32,0,190,190,5009,0,0
1489761266121,5012,SOAP/XML-RPC Request,200,OK,PythonDirect 1-107,,true,,32,0,190,190,5012,0,0
1489761265927,5209,SOAP/XML-RPC Request,200,OK,PythonDirect 1-35,,true,,32,0,190,190,5209,0,0
1489761265927,5211,SOAP/XML-RPC Request,200,OK,PythonDirect 1-34,,true,,32,0,190,190,5211,0,0
1489761266125,5016,SOAP/XML-RPC Request,200,OK,PythonDirect 1-108,,true,,32,0,190,190,5016,0,0
1489761266132,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-110,,true,,32,0,190,190,5009,0,0
1489761266133,5012,SOAP/XML-RPC Request,200,OK,PythonDirect 1-109,,true,,32,0,190,190,5012,0,0
1489761266139,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-112,,true,,32,0,190,190,5010,0,0
1489761266136,5014,SOAP/XML-RPC Request,200,OK,PythonDirect 1-111,,true,,32,0,190,190,5014,0,0
1489761266148,5005,SOAP/XML-RPC Request,200,OK,PythonDirect 1-115,,true,,32,0,190,190,5005,0,0
1489761266146,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-114,,true,,32,0,190,190,5007,0,0
1489761266149,5005,SOAP/XML-RPC Request,200,OK,PythonDirect 1-116,,true,,32,0,190,190,5005,0,0
